freq,resp
812.0,100.66479
813.0,100.66575
814.0,100.66671
815.0,100.66766
816.0,100.66861
817.0,100.66956
818.0,100.67051
819.0,100.67145
820.0,100.67238
821.0,100.67332
822.0,100.67425
823.0,100.67517
824.0,100.6761
825.0,100.67702
826.0,100.67793
827.0,100.67885
828.0,100.67976
829.0,100.68066
830.0,100.68157
831.0,100.68247
832.0,100.68336
833.0,100.68426
834.0,100.68515
835.0,100.68603
836.0,100.68692
837.0,100.6878
838.0,100.68868
839.0,100.68955
840.0,100.69042
841.0,100.69129
842.0,100.69215
843.0,100.69301
844.0,100.69387
845.0,100.69473
846.0,100.69558
847.0,100.69643
848.0,100.69728
849.0,100.69812
850.0,100.69896
851.0,100.6998
852.0,100.70063
853.0,100.70146
854.0,100.70229
855.0,100.70311
856.0,100.70394
857.0,100.70475
858.0,100.70557
859.0,100.70638
860.0,100.70719
861.0,100.708
862.0,100.70881
863.0,100.70961
864.0,100.71041
865.0,100.7112
866.0,100.712
867.0,100.71279
868.0,100.71358
869.0,100.71436
870.0,100.71514
871.0,100.71592
872.0,100.7167
873.0,100.71748
874.0,100.71825
875.0,100.71902
876.0,100.71978
877.0,100.72055
878.0,100.72131
879.0,100.72206
880.0,100.72282
881.0,100.72357
882.0,100.72432
883.0,100.72507
884.0,100.72582
885.0,100.72656
886.0,100.7273
887.0,100.72803
888.0,100.72877
889.0,100.7295
890.0,100.73023
891.0,100.73096
892.0,100.73168
893.0,100.73241
894.0,100.73313
895.0,100.73384
896.0,100.73456
897.0,100.73527
898.0,100.73598
899.0,100.73669
900.0,100.73739
901.0,100.7381
902.0,100.7388
903.0,100.73949
904.0,100.74019
905.0,100.74088
906.0,100.74157
907.0,100.74226
908.0,100.74295
909.0,100.74363
910.0,100.74431
911.0,100.74499
912.0,100.74567
913.0,100.74634
914.0,100.74702
915.0,100.74769
916.0,100.74835
917.0,100.74902
918.0,100.74968
919.0,100.75035
920.0,100.751
921.0,100.75166
922.0,100.75232
923.0,100.75297
924.0,100.75362
925.0,100.75427
926.0,100.75491
927.0,100.75556
928.0,100.7562
929.0,100.75684
930.0,100.75747
931.0,100.75811
932.0,100.75874
933.0,100.75937
934.0,100.76
935.0,100.76063
936.0,100.76125
937.0,100.76188
938.0,100.7625
939.0,100.76312
940.0,100.76373
941.0,100.76435
942.0,100.76496
943.0,100.76557
944.0,100.76618
945.0,100.76679
946.0,100.76739
947.0,100.76799
948.0,100.76859
949.0,100.76919
950.0,100.76979
951.0,100.77039
952.0,100.77098
953.0,100.77157
954.0,100.77216
955.0,100.77275
956.0,100.77333
957.0,100.77391
958.0,100.7745
959.0,100.77508
960.0,100.77565
961.0,100.77623
